        Layer (type)               Output Shape         Param #
       LeakyReLU-441         [-1, 32, 128, 128]               0
          Conv2d-442         [-1, 32, 128, 128]          46,112
       LeakyReLU-443         [-1, 32, 128, 128]               0
          Conv2d-444         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-445         [-1, 64, 128, 128]               0
          Conv2d-446         [-1, 32, 128, 128]          18,464
       LeakyReLU-447         [-1, 32, 128, 128]               0
          Conv2d-448         [-1, 32, 128, 128]          27,680
       LeakyReLU-449         [-1, 32, 128, 128]               0
          Conv2d-450         [-1, 32, 128, 128]          36,896
       LeakyReLU-451         [-1, 32, 128, 128]               0
          Conv2d-452         [-1, 32, 128, 128]          46,112
       LeakyReLU-453         [-1, 32, 128, 128]               0
          Conv2d-454         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-455         [-1, 64, 128, 128]               0
          Conv2d-456         [-1, 32, 128, 128]          18,464
       LeakyReLU-457         [-1, 32, 128, 128]               0
          Conv2d-458         [-1, 32, 128, 128]          27,680
       LeakyReLU-459         [-1, 32, 128, 128]               0
          Conv2d-460         [-1, 32, 128, 128]          36,896
       LeakyReLU-461         [-1, 32, 128, 128]               0
          Conv2d-462         [-1, 32, 128, 128]          46,112
       LeakyReLU-463         [-1, 32, 128, 128]               0
          Conv2d-464         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-465         [-1, 64, 128, 128]               0
            RRDB-466         [-1, 64, 128, 128]               0
          Conv2d-467         [-1, 32, 128, 128]          18,464
       LeakyReLU-468         [-1, 32, 128, 128]               0
          Conv2d-469         [-1, 32, 128, 128]          27,680
       LeakyReLU-470         [-1, 32, 128, 128]               0
          Conv2d-471         [-1, 32, 128, 128]          36,896
       LeakyReLU-472         [-1, 32, 128, 128]               0
          Conv2d-473         [-1, 32, 128, 128]          46,112
       LeakyReLU-474         [-1, 32, 128, 128]               0
          Conv2d-475         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-476         [-1, 64, 128, 128]               0
          Conv2d-477         [-1, 32, 128, 128]          18,464
       LeakyReLU-478         [-1, 32, 128, 128]               0
          Conv2d-479         [-1, 32, 128, 128]          27,680
       LeakyReLU-480         [-1, 32, 128, 128]               0
          Conv2d-481         [-1, 32, 128, 128]          36,896
       LeakyReLU-482         [-1, 32, 128, 128]               0
          Conv2d-483         [-1, 32, 128, 128]          46,112
       LeakyReLU-484         [-1, 32, 128, 128]               0
          Conv2d-485         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-486         [-1, 64, 128, 128]               0
          Conv2d-487         [-1, 32, 128, 128]          18,464
       LeakyReLU-488         [-1, 32, 128, 128]               0
          Conv2d-489         [-1, 32, 128, 128]          27,680
       LeakyReLU-490         [-1, 32, 128, 128]               0
          Conv2d-491         [-1, 32, 128, 128]          36,896
       LeakyReLU-492         [-1, 32, 128, 128]               0
          Conv2d-493         [-1, 32, 128, 128]          46,112
       LeakyReLU-494         [-1, 32, 128, 128]               0
          Conv2d-495         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-496         [-1, 64, 128, 128]               0
            RRDB-497         [-1, 64, 128, 128]               0
          Conv2d-498         [-1, 32, 128, 128]          18,464
       LeakyReLU-499         [-1, 32, 128, 128]               0
          Conv2d-500         [-1, 32, 128, 128]          27,680
       LeakyReLU-501         [-1, 32, 128, 128]               0
          Conv2d-502         [-1, 32, 128, 128]          36,896
       LeakyReLU-503         [-1, 32, 128, 128]               0
          Conv2d-504         [-1, 32, 128, 128]          46,112
       LeakyReLU-505         [-1, 32, 128, 128]               0
          Conv2d-506         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-507         [-1, 64, 128, 128]               0
          Conv2d-508         [-1, 32, 128, 128]          18,464
       LeakyReLU-509         [-1, 32, 128, 128]               0
          Conv2d-510         [-1, 32, 128, 128]          27,680
       LeakyReLU-511         [-1, 32, 128, 128]               0
